tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-04-01,28,52,41,11,43,19,52,PM25,SEDANG,DKI3
2021-04-02,51,70,44,11,42,19,70,PM25,SEDANG,DKI3
2021-04-03,39,67,42,9,57,22,67,PM25,SEDANG,DKI4
2021-04-04,68,103,43,30,49,37,103,PM25,TIDAK SEHAT,DKI3
2021-04-05,61,85,43,15,59,28,85,PM25,SEDANG,DKI3
2021-04-06,43,61,43,10,36,18,61,PM25,SEDANG,DKI2
2021-04-07,30,52,42,11,43,19,52,PM25,SEDANG,DKI2
2021-04-08,39,57,51,12,40,22,57,PM25,SEDANG,DKI2
2021-04-09,55,77,43,14,49,28,77,PM25,SEDANG,DKI5
2021-04-10,64,101,43,16,50,29,101,PM25,TIDAK SEHAT,DKI3
2021-04-11,66,108,50,18,60,31,108,PM25,TIDAK SEHAT,DKI4
2021-04-12,69,93,51,20,54,31,93,PM25,SEDANG,DKI2
2021-04-13,70,82,63,18,64,40,82,PM25,SEDANG,DKI2
2021-04-14,65,81,55,16,65,32,81,PM25,SEDANG,DKI2
2021-04-15,67,88,55,27,50,42,88,PM25,SEDANG,DKI5
2021-04-16,69,94,55,20,50,44,94,PM25,SEDANG,DKI2
2021-04-17,67,118,43,20,39,41,118,PM25,TIDAK SEHAT,DKI5
2021-04-18,57,93,42,16,32,26,93,PM25,SEDANG,DKI5
2021-04-19,63,108,52,14,41,30,108,PM25,TIDAK SEHAT,DKI5
2021-04-20,64,94,52,12,55,30,94,PM25,SEDANG,DKI2
2021-04-21,76,105,56,19,50,37,105,PM25,TIDAK SEHAT,DKI5
2021-04-22,63,99,52,14,60,40,99,PM25,SEDANG,DKI4
2021-04-23,75,112,51,16,65,42,112,PM25,TIDAK SEHAT,DKI4
2021-04-24,88,115,61,18,73,40,115,PM25,TIDAK SEHAT,DKI2
2021-04-25,74,116,55,17,58,36,116,PM25,TIDAK SEHAT,DKI4
2021-04-26,64,117,52,11,59,24,117,PM25,TIDAK SEHAT,DKI4
2021-04-27,75,138,51,12,65,28,138,PM25,TIDAK SEHAT,DKI4
2021-04-28,61,94,51,15,56,34,94,PM25,SEDANG,DKI4
2021-04-29,69,85,60,17,44,38,85,PM25,SEDANG,DKI2
2021-04-30,71,91,57,18,55,42,91,PM25,SEDANG,DKI2
