tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-04-01,DKI1 (Bunderan HI),26,42,22,11,13,19,42,PM25,BAIK
2021-04-02,DKI1 (Bunderan HI),41,54,27,11,17,19,54,PM25,SEDANG
2021-04-03,DKI1 (Bunderan HI),25,42,20,8,18,22,42,PM25,BAIK
2021-04-04,DKI1 (Bunderan HI),57,78,21,23,14,33,78,PM25,SEDANG
2021-04-05,DKI1 (Bunderan HI),52,69,22,15,18,27,69,PM25,SEDANG
2021-04-06,DKI1 (Bunderan HI),33,55,27,10,14,18,55,PM25,SEDANG
2021-04-07,DKI1 (Bunderan HI),30,47,25,11,13,19,47,PM25,BAIK
2021-04-08,DKI1 (Bunderan HI),38,55,33,12,13,22,55,PM25,SEDANG
2021-04-09,DKI1 (Bunderan HI),54,69,26,14,15,28,69,PM25,SEDANG
2021-04-10,DKI1 (Bunderan HI),48,66,23,13,17,29,66,PM25,SEDANG
2021-04-11,DKI1 (Bunderan HI),45,68,31,12,25,31,68,PM25,SEDANG
2021-04-12,DKI1 (Bunderan HI),55,69,26,20,15,31,69,PM25,SEDANG
2021-04-13,DKI1 (Bunderan HI),55,68,23,18,21,40,68,PM25,SEDANG
2021-04-14,DKI1 (Bunderan HI),51,71,27,15,25,32,71,PM25,SEDANG
2021-04-15,DKI1 (Bunderan HI),56,74,24,24,21,40,74,PM25,SEDANG
2021-04-16,DKI1 (Bunderan HI),55,76,24,20,16,42,76,PM25,SEDANG
2021-04-17,DKI1 (Bunderan HI),65,101,24,19,19,41,101,PM25,TIDAK SEHAT
2021-04-18,DKI1 (Bunderan HI),57,79,24,11,25,26,79,PM25,SEDANG
2021-04-19,DKI1 (Bunderan HI),63,92,25,14,26,30,92,PM25,SEDANG
2021-04-20,DKI1 (Bunderan HI),56,83,25,12,21,30,83,PM25,SEDANG
2021-04-21,DKI1 (Bunderan HI),63,87,24,19,14,37,87,PM25,SEDANG
2021-04-22,DKI1 (Bunderan HI),54,81,25,14,23,40,81,PM25,SEDANG
2021-04-23,DKI1 (Bunderan HI),66,99,25,16,21,42,99,PM25,SEDANG
2021-04-24,DKI1 (Bunderan HI),66,99,23,18,30,40,99,PM25,SEDANG
2021-04-25,DKI1 (Bunderan HI),63,86,24,15,17,36,86,PM25,SEDANG
2021-04-26,DKI1 (Bunderan HI),56,79,26,10,22,24,79,PM25,SEDANG
2021-04-27,DKI1 (Bunderan HI),62,94,26,12,23,28,94,PM25,SEDANG
2021-04-28,DKI1 (Bunderan HI),54,77,21,15,21,34,77,PM25,SEDANG
2021-04-29,DKI1 (Bunderan HI),57,71,23,17,18,38,71,PM25,SEDANG
2021-04-30,DKI1 (Bunderan HI),61,84,23,18,20,42,84,PM25,SEDANG
2021-04-01,DKI2 (Kelapa Gading),22,38,28,9,43,10,43,O3,BAIK
2021-04-02,DKI2 (Kelapa Gading),39,57,34,11,42,13,57,PM25,SEDANG
2021-04-03,DKI2 (Kelapa Gading),23,51,33,9,57,10,57,O3,SEDANG
2021-04-04,DKI2 (Kelapa Gading),63,80,40,17,49,23,80,PM25,SEDANG
2021-04-05,DKI2 (Kelapa Gading),54,69,30,13,59,18,69,PM25,SEDANG
2021-04-06,DKI2 (Kelapa Gading),43,61,32,10,36,15,61,PM25,SEDANG
2021-04-07,DKI2 (Kelapa Gading),30,52,33,9,43,8,52,PM25,SEDANG
2021-04-08,DKI2 (Kelapa Gading),39,57,34,10,40,14,57,PM25,SEDANG
2021-04-09,DKI2 (Kelapa Gading),53,64,32,10,49,25,64,PM25,SEDANG
2021-04-10,DKI2 (Kelapa Gading),44,61,34,9,50,19,61,PM25,SEDANG
2021-04-11,DKI2 (Kelapa Gading),54,72,42,12,60,22,72,PM25,SEDANG
2021-04-12,DKI2 (Kelapa Gading),69,93,51,20,54,23,93,PM25,SEDANG
2021-04-13,DKI2 (Kelapa Gading),70,82,63,14,64,21,82,PM25,SEDANG
2021-04-14,DKI2 (Kelapa Gading),65,81,55,16,65,22,81,PM25,SEDANG
2021-04-15,DKI2 (Kelapa Gading),67,85,55,21,50,34,85,PM25,SEDANG
2021-04-16,DKI2 (Kelapa Gading),69,94,55,17,50,28,94,PM25,SEDANG
2021-04-17,DKI2 (Kelapa Gading),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-04-18,DKI2 (Kelapa Gading),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-04-19,DKI2 (Kelapa Gading),---,107,52,---,41,22,107,PM25,TIDAK SEHAT
2021-04-20,DKI2 (Kelapa Gading),64,94,52,---,55,18,94,PM25,SEDANG
2021-04-21,DKI2 (Kelapa Gading),76,101,56,16,50,22,101,PM25,TIDAK SEHAT
2021-04-22,DKI2 (Kelapa Gading),63,92,52,11,60,14,92,PM25,SEDANG
2021-04-23,DKI2 (Kelapa Gading),75,101,51,15,65,20,101,PM25,TIDAK SEHAT
2021-04-24,DKI2 (Kelapa Gading),88,115,61,17,73,25,115,PM25,TIDAK SEHAT
2021-04-25,DKI2 (Kelapa Gading),74,101,55,15,58,20,101,PM25,TIDAK SEHAT
2021-04-26,DKI2 (Kelapa Gading),64,87,52,10,59,14,87,PM25,SEDANG
2021-04-27,DKI2 (Kelapa Gading),74,97,51,11,65,17,97,PM25,SEDANG
2021-04-28,DKI2 (Kelapa Gading),61,81,51,13,56,18,81,PM25,SEDANG
2021-04-29,DKI2 (Kelapa Gading),69,85,60,15,44,26,85,PM25,SEDANG
2021-04-30,DKI2 (Kelapa Gading),71,91,57,14,55,21,91,PM25,SEDANG
2021-04-01,DKI3 (Jagakarsa),28,52,26,5,35,7,52,PM25,SEDANG
2021-04-02,DKI3 (Jagakarsa),51,70,33,8,37,10,70,PM25,SEDANG
2021-04-03,DKI3 (Jagakarsa),30,52,27,7,---,14,52,PM25,SEDANG
2021-04-04,DKI3 (Jagakarsa),68,103,29,28,---,28,103,PM25,TIDAK SEHAT
2021-04-05,DKI3 (Jagakarsa),61,85,30,11,---,17,85,PM25,SEDANG
2021-04-06,DKI3 (Jagakarsa),35,51,32,3,34,5,51,PM25,SEDANG
2021-04-07,DKI3 (Jagakarsa),25,35,27,3,---,4,35,PM25,BAIK
2021-04-08,DKI3 (Jagakarsa),31,52,28,5,---,7,52,PM25,SEDANG
2021-04-09,DKI3 (Jagakarsa),55,76,26,8,---,10,76,PM25,SEDANG
2021-04-10,DKI3 (Jagakarsa),64,101,25,16,---,18,101,PM25,TIDAK SEHAT
2021-04-11,DKI3 (Jagakarsa),62,89,25,14,---,21,89,PM25,SEDANG
2021-04-12,DKI3 (Jagakarsa),---,69,27,15,---,16,69,PM25,SEDANG
2021-04-13,DKI3 (Jagakarsa),47,65,31,11,---,18,65,PM25,SEDANG
2021-04-14,DKI3 (Jagakarsa),48,67,31,10,---,19,67,PM25,SEDANG
2021-04-15,DKI3 (Jagakarsa),48,69,26,16,33,19,69,PM25,SEDANG
2021-04-16,DKI3 (Jagakarsa),52,72,27,14,32,22,72,PM25,SEDANG
2021-04-17,DKI3 (Jagakarsa),61,93,---,12,39,20,93,PM25,SEDANG
2021-04-18,DKI3 (Jagakarsa),55,82,---,8,---,14,82,PM25,SEDANG
2021-04-19,DKI3 (Jagakarsa),---,92,22,9,36,18,92,PM25,SEDANG
2021-04-20,DKI3 (Jagakarsa),50,75,19,7,32,14,75,PM25,SEDANG
2021-04-21,DKI3 (Jagakarsa),58,93,19,13,27,17,93,PM25,SEDANG
2021-04-22,DKI3 (Jagakarsa),57,83,20,8,39,14,83,PM25,SEDANG
2021-04-23,DKI3 (Jagakarsa),70,100,20,11,32,16,100,PM25,SEDANG
2021-04-24,DKI3 (Jagakarsa),57,73,19,9,41,15,73,PM25,SEDANG
2021-04-25,DKI3 (Jagakarsa),59,88,19,13,27,19,88,PM25,SEDANG
2021-04-26,DKI3 (Jagakarsa),57,84,19,10,26,16,84,PM25,SEDANG
2021-04-27,DKI3 (Jagakarsa),64,104,13,9,34,16,104,PM25,TIDAK SEHAT
2021-04-28,DKI3 (Jagakarsa),51,80,11,9,32,16,80,PM25,SEDANG
2021-04-29,DKI3 (Jagakarsa),39,23,10,12,26,17,39,PM10,BAIK
2021-04-30,DKI3 (Jagakarsa),54,23,12,10,---,18,54,PM10,SEDANG
2021-04-01,DKI4 (Lubang Buaya),22,49,41,7,18,12,49,PM25,BAIK
2021-04-02,DKI4 (Lubang Buaya),37,62,44,11,18,12,62,PM25,SEDANG
2021-04-03,DKI4 (Lubang Buaya),39,67,42,9,22,14,67,PM25,SEDANG
2021-04-04,DKI4 (Lubang Buaya),64,103,43,26,23,20,103,PM25,TIDAK SEHAT
2021-04-05,DKI4 (Lubang Buaya),52,80,43,14,23,16,80,PM25,SEDANG
2021-04-06,DKI4 (Lubang Buaya),30,50,43,6,15,10,50,PM25,BAIK
2021-04-07,DKI4 (Lubang Buaya),22,38,42,5,16,8,42,SO2,BAIK
2021-04-08,DKI4 (Lubang Buaya),24,55,48,8,14,10,55,PM25,SEDANG
2021-04-09,DKI4 (Lubang Buaya),42,63,43,8,21,13,63,PM25,SEDANG
2021-04-10,DKI4 (Lubang Buaya),61,90,43,15,27,21,90,PM25,SEDANG
2021-04-11,DKI4 (Lubang Buaya),66,108,47,18,35,24,108,PM25,TIDAK SEHAT
2021-04-12,DKI4 (Lubang Buaya),57,92,43,18,27,17,92,PM25,SEDANG
2021-04-13,DKI4 (Lubang Buaya),52,78,44,13,31,20,78,PM25,SEDANG
2021-04-14,DKI4 (Lubang Buaya),52,79,42,13,31,14,79,PM25,SEDANG
2021-04-15,DKI4 (Lubang Buaya),55,87,42,27,25,27,87,PM25,SEDANG
2021-04-16,DKI4 (Lubang Buaya),61,90,42,17,21,20,90,PM25,SEDANG
2021-04-17,DKI4 (Lubang Buaya),63,109,43,20,27,19,109,PM25,TIDAK SEHAT
2021-04-18,DKI4 (Lubang Buaya),57,82,42,16,---,16,82,PM25,SEDANG
2021-04-19,DKI4 (Lubang Buaya),58,94,46,12,---,19,94,PM25,SEDANG
2021-04-20,DKI4 (Lubang Buaya),56,90,45,10,34,17,90,PM25,SEDANG
2021-04-21,DKI4 (Lubang Buaya),64,103,43,16,27,17,103,PM25,TIDAK SEHAT
2021-04-22,DKI4 (Lubang Buaya),60,99,45,10,34,17,99,PM25,SEDANG
2021-04-23,DKI4 (Lubang Buaya),67,112,19,13,31,24,112,PM25,TIDAK SEHAT
2021-04-24,DKI4 (Lubang Buaya),65,98,33,13,31,20,98,PM25,SEDANG
2021-04-25,DKI4 (Lubang Buaya),73,116,37,17,20,17,116,PM25,TIDAK SEHAT
