tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-02-01,73,126,38,26,46,34,126,PM25,TIDAK SEHAT,DKI5
2021-02-02,53,70,40,14,55,25,70,PM25,SEDANG,DKI3
2021-02-03,32,53,40,11,42,19,53,PM25,SEDANG,DKI3
2021-02-04,36,59,40,14,47,24,59,PM25,SEDANG,DKI5
2021-02-05,29,51,40,14,45,35,51,PM25,SEDANG,DKI3
2021-02-06,34,53,40,8,57,15,57,O3,SEDANG,DKI2
2021-02-07,33,55,40,10,57,13,57,O3,SEDANG,DKI2
2021-02-08,26,44,39,10,54,17,54,O3,SEDANG,DKI2
2021-02-09,33,57,40,13,47,22,57,PM25,SEDANG,DKI4
2021-02-10,50,64,40,13,49,16,64,PM25,SEDANG,DKI3
2021-02-11,38,57,43,13,35,17,57,PM25,SEDANG,DKI3
2021-02-12,63,98,43,16,33,42,98,PM25,SEDANG,DKI3
2021-02-13,59,89,40,12,40,16,89,PM25,SEDANG,DKI3
2021-02-14,55,73,40,11,42,19,73,PM25,SEDANG,DKI3
2021-02-15,42,66,40,13,37,25,66,PM25,SEDANG,DKI4
2021-02-16,43,63,40,11,42,26,63,PM25,SEDANG,DKI4
2021-02-17,46,71,40,25,41,37,71,PM25,SEDANG,DKI5
2021-02-18,53,70,44,13,41,29,70,PM25,SEDANG,DKI3
2021-02-19,32,52,42,20,41,33,52,PM25,SEDANG,DKI5
2021-02-20,45,63,39,13,53,20,63,PM25,SEDANG,DKI4
2021-02-21,36,52,39,10,48,17,52,PM25,SEDANG,DKI5
2021-02-22,68,103,42,22,41,40,103,PM25,TIDAK SEHAT,DKI3
2021-02-23,66,90,40,16,54,23,90,PM25,SEDANG,DKI3
2021-02-24,42,61,40,10,33,16,61,PM25,SEDANG,DKI4
2021-02-25,31,54,43,12,45,23,54,PM25,SEDANG,DKI3
2021-02-26,48,75,43,13,40,20,75,PM25,SEDANG,DKI4
2021-02-27,59,94,44,15,50,31,94,PM25,SEDANG,DKI4
2021-02-28,68,113,40,18,60,18,113,PM25,TIDAK SEHAT,DKI4
